"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @thesuniljain: An @amazon or @WalmartInc can't discount on their marketplaces but a @reliancegroup Retail can! This is unfair to FDI @Pi…",FALSE,0,NA,2019-09-04 12:38:39,FALSE,NA,"1169228278151942144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","paediatric_inc",31,TRUE,FALSE,NA,NA
"@Zomato @ZomatoIN @deepigoyal @jagograhakjago Unless the restaurant is a famous one or of a famous chain, all the p… https://t.co/rhmv6rajRU",FALSE,0,"Zomato",2019-09-04 12:38:35,TRUE,NA,"1169228260015628289","23283603","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sudeepc63649118",0,FALSE,FALSE,NA,NA
"@Zomato @ZomatoIN @deepigoyal @jagograhakjago And it has been done on every occasion that I've checked unless the r… https://t.co/NnSOBrpmj0",FALSE,0,"Zomato",2019-09-04 12:37:44,TRUE,NA,"1169228049293836288","23283603","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sudeepc63649118",0,FALSE,FALSE,NA,NA
"@Zomato @ZomatoIN @deepigoyal @jagograhakjago Apart from the religious issues concerning your delivery guys, maybe… https://t.co/P4XakqcMeE",FALSE,0,"Zomato",2019-09-04 12:36:41,TRUE,NA,"1169227784679329792","23283603","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sudeepc63649118",0,FALSE,FALSE,NA,NA
"RT @Kabirology: this is how a restaurant listed on zomato replies to their customers on reviews. many customers shared the similar experien…",FALSE,0,NA,2019-09-04 12:32:46,FALSE,NA,"1169226796597792768",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","sumelg2",45,TRUE,FALSE,NA,NA
"RT @thesuniljain: An @amazon or @WalmartInc can't discount on their marketplaces but a @reliancegroup Retail can! This is unfair to FDI @Pi…",FALSE,0,NA,2019-09-04 12:29:49,FALSE,NA,"1169226057452384256",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kronkareshwar",31,TRUE,FALSE,NA,NA
"@Zomato @ZomatoIN @zomatocare Order id: 1182182097 and 1660282843. Stale food delivered. Like night prepared food d… https://t.co/D17DtLrNM4",FALSE,0,"Zomato",2019-09-04 12:20:48,TRUE,NA,"1169223785238515712","23283603","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rajanarora_123",0,FALSE,FALSE,NA,NA
"@SwiggyCares @Zomato still an appeal to all users kindlybuse swiggy much better service provider than Zomato look a… https://t.co/16IiTvqqfI",FALSE,0,"gehaninitisha",2019-09-04 12:20:28,TRUE,"1169222615296118784","1169223703285993472","197807950","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gehaninitisha",0,FALSE,FALSE,NA,NA
"@Zomato @ZomatoIN when mailed customer care they say that it's the new policy. Am i supposed to walk myself in 5 fe… https://t.co/J2SHCJcISh",FALSE,0,"Zomato",2019-09-04 12:19:51,TRUE,NA,"1169223546301665281","23283603","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","offharshitside",0,FALSE,FALSE,NA,NA
"@ZomatoIN @Zomato Appaling customer service. Ordered from Rolls Mania around 3:45 only for the delivery boy to call… https://t.co/NW6KkLcxQz",FALSE,0,"ZomatoIN",2019-09-04 12:17:32,TRUE,NA,"1169222965080182785","3282245130","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","offharshitside",0,FALSE,FALSE,NA,NA
"@Zomato @ZomatoIN this is how Zomato customer support deals with there Zomato gold clients one of my friend raised… https://t.co/d6Y3H993iW",FALSE,0,"Zomato",2019-09-04 12:16:09,TRUE,NA,"1169222615296118784","23283603","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gehaninitisha",0,FALSE,FALSE,NA,NA
"@zomatocare @Zomato @ZomatoIN i plac3d order 2 days back which I never recieved, i have also sent a mail its been 2… https://t.co/oMSFqch8oH",FALSE,0,"zomatocare",2019-09-04 12:14:37,TRUE,NA,"1169222229978206210","988362975617601536","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","saurabhkhanduja",0,FALSE,FALSE,NA,NA
"Never again ordering from this frauds. I make sure to try @Zomato but all restaurants were not available. Better to… https://t.co/UZM4aUhh7j",FALSE,0,"KantadoAaveChe",2019-09-04 12:07:03,TRUE,"1169219775332941824","1169220324505735170","772303031815639045","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KantadoAaveChe",0,FALSE,FALSE,NA,NA
"RT @Arvind_82: @liberal_slayerr @Zomato @Unilever Dear liberal_slayerr How can u question @Zomato @Unilever and other pseudo-secular? They…",FALSE,0,NA,2019-09-04 12:02:09,FALSE,NA,"1169219091808358400",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SJWSlayer3",1,TRUE,FALSE,NA,NA
"RT @thesuniljain: An @amazon or @WalmartInc can't discount on their marketplaces but a @reliancegroup Retail can! This is unfair to FDI @Pi…",FALSE,0,NA,2019-09-04 12:01:57,FALSE,NA,"1169219042730635264",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mo_riarty",31,TRUE,FALSE,NA,NA
"@zomatocare @Zomato Thanks zomato for your kind attention &amp; speedy solution. You credited the exact amount of food… https://t.co/KxI1KmFsav",FALSE,0,"zomatocare",2019-09-04 11:58:39,TRUE,NA,"1169218213466345472","988362975617601536","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dearpriyadarshi",0,FALSE,FALSE,NA,NA
"RT @arebhaibhai1: If your no. Is not reachable then they cancel your order and also didn't refund <U+0001F637>so my suggestion too u give atleast 2 ya…",FALSE,0,NA,2019-09-04 11:57:16,FALSE,NA,"1169217865427193856",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","arebhaibhai1",1,TRUE,FALSE,NA,NA
"If your no. Is not reachable then they cancel your order and also didn't refund <U+0001F637>so my suggestion too u give atleas… https://t.co/WR0eXcTgVu",FALSE,1,NA,2019-09-04 11:56:05,TRUE,NA,"1169217564401995776",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","arebhaibhai1",1,FALSE,FALSE,NA,NA
"@SodexoIndiaClub @Zomato @SodexoIndia I’m trying to send a DM but unable to https://t.co/RDuOD08uPv",FALSE,0,"SodexoIndiaClub",2019-09-04 11:55:08,FALSE,"1169215608845553664","1169217327029571585","2586902354","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","starrysurprize",0,FALSE,FALSE,NA,NA
"RT @thesuniljain: An @amazon or @WalmartInc can't discount on their marketplaces but a @reliancegroup Retail can! This is unfair to FDI @Pi…",FALSE,0,NA,2019-09-04 11:51:45,FALSE,NA,"1169216475451686912",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","thesuniljain",31,TRUE,FALSE,NA,NA
"@tterIndia @Zomato @NRAI_India The restaurant body @NRAI_India is planning something BIG against Zomato, because Zo… https://t.co/c2o3oTaA9h",FALSE,0,"pantparitosh",2019-09-04 11:51:35,TRUE,"1169215249406279680","1169216433349226496","2239591970","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pantparitosh",0,FALSE,FALSE,NA,NA
"@zomatocare @Zomato @ZomatoIN please spare some time to look into my request.",FALSE,0,"neha2k7",2019-09-04 11:50:01,FALSE,"1169191792580780032","1169216038963240961","80090521","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","neha2k7",0,FALSE,FALSE,NA,NA
"@starrysurprize @Zomato @SodexoIndia Hi @starrysurprize Please DM us your registered mobile number so we can connect with you on call.",FALSE,0,"starrysurprize",2019-09-04 11:48:18,FALSE,"1168898409786482689","1169215608845553664","80849066","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SodexoIndiaClub",0,FALSE,FALSE,NA,NA
"@tterIndia @Zomato This is due to the #stayloggedout movement by @NRAI_India. The strongest restaurant association… https://t.co/IekjM9Wm0J",FALSE,0,"tterIndia",2019-09-04 11:46:53,TRUE,"1169211781744476161","1169215249406279680","613791504","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pantparitosh",0,FALSE,FALSE,NA,NA
"@Zomato  @ZomatoIN @zomatocare  Treat this communication as Complaint. Order no - 1821539216. Delivery address is o… https://t.co/IUM3jXxYQi",FALSE,0,"Zomato",2019-09-04 11:46:06,TRUE,NA,"1169215052559241216","23283603","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rishabh_rjvnshi",0,FALSE,FALSE,NA,NA
"@imcnprashanth @Zomato Hey Prashanth! Apologies for the trouble caused. Please help us with the order number so tha… https://t.co/3YnLI1ncak",FALSE,0,"imcnprashanth",2019-09-04 11:44:07,TRUE,"1168485308872028160","1169214556054245378","3866996472","<a href=""https://www.onedirect.in/"" rel=""nofollow""> OneDirect Suite Apps</a>","zomatocare",0,FALSE,FALSE,NA,NA
"RT @abhilashkgc: @Zomato @ZomatoIN @ZomatoGold @zomatocare restaurants are not accepting gold anymore..i have a subscription till end of ye…",FALSE,0,NA,2019-09-04 11:41:02,FALSE,NA,"1169213778782638081",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AshwaqAhmd",2,TRUE,FALSE,NA,NA
"@ZomatoIN @Zomato worst food delivery service. Twice this has been that I Hve received half of my order and this ti… https://t.co/XGDmZmml9R",FALSE,0,"ZomatoIN",2019-09-04 11:40:50,TRUE,NA,"1169213729503756288","3282245130","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","casanova_Div",0,FALSE,FALSE,NA,NA
"RT @thesuniljain: An @amazon or @WalmartInc can't discount on their marketplaces but a @reliancegroup Retail can! This is unfair to FDI @Pi…",FALSE,0,NA,2019-09-04 11:40:00,FALSE,NA,"1169213520073785344",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Econ_Santosh",31,TRUE,FALSE,NA,NA
"@zomatocare restaurant cancelled my ordered after 30 minutes of fight. @Zomato people do you understand what hunger… https://t.co/3kGgrA1FXI",FALSE,0,"zomatocare",2019-09-04 11:38:20,TRUE,NA,"1169213099259265025","988362975617601536","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","thesharmaharsh",0,FALSE,FALSE,NA,NA
"This is a big scam! Luring customers to buy yearly subscription like Gold @Zomato  then not accepting it later. https://t.co/xTTok0h3oa",FALSE,1,NA,2019-09-04 11:33:06,FALSE,NA,"1169211781744476161",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","tterIndia",0,FALSE,FALSE,NA,NA
"@ZomatoIN @Zomato Zomato your app and you both are fake Company I updated proper address and your app selection aut… https://t.co/uZkAfXtypm",FALSE,0,"ZomatoIN",2019-09-04 11:32:12,TRUE,"1156429449258250240","1169211557273722880","3282245130","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shraddhakotakt",0,FALSE,FALSE,NA,NA
"@Zomato @ZomatoIN @zomatocare i got a call from abhishek and he is tour supervisor and abused me over the call when… https://t.co/MUhEyMqbPP",FALSE,0,"Zomato",2019-09-04 11:31:04,TRUE,NA,"1169211271692111872","23283603","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BholaPraveen",0,FALSE,FALSE,NA,NA
"RT @abhilashkgc: @Zomato @ZomatoIN @ZomatoGold @zomatocare restaurants are not accepting gold anymore..i have a subscription till end of ye…",FALSE,0,NA,2019-09-04 11:30:54,FALSE,NA,"1169211227412631554",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","priyanshu_pz",2,TRUE,FALSE,NA,NA
"@ZomatoIN control ur delivery boy, a boy delivered food for my team mate today n is calling every 2 hrs for rating… https://t.co/hzn2JuMIvG",FALSE,0,"ZomatoIN",2019-09-04 11:27:18,TRUE,NA,"1169210321904361474","3282245130","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tapandyahere",0,FALSE,FALSE,NA,NA
"@zomatocare @Zomato @ZomatoIN ???no assistance till yet",FALSE,0,"zomatocare",2019-09-04 11:26:14,FALSE,"1167703960070672386","1169210053854806017","988362975617601536","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","amansidhu25101",0,FALSE,FALSE,NA,NA
"@zomatocare @ZomatoIN @Zomato ????what have you checked???",FALSE,0,"zomatocare",2019-09-04 11:25:31,FALSE,"1167702192574173186","1169209874326020097","988362975617601536","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","amansidhu25101",0,FALSE,FALSE,NA,NA
"@Zomato @ZomatoIN Guys what the heck? Ordered lunch at 3 and it's 5 and no delivery. Why am I being asked to contac… https://t.co/6ddcB6sAkv",FALSE,0,"Zomato",2019-09-04 11:23:59,TRUE,NA,"1169209487263059969","23283603","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","anurag03thakur",0,FALSE,FALSE,NA,NA
"@Ipshitachandra @Zomato @zomatocare @ZomatoIN @mchandranair Sharing a quick 2 min read on how to get refund from zo… https://t.co/YPgJxfttzj",FALSE,2,"Ipshitachandra",2019-09-04 11:23:57,TRUE,"1168781849608327168","1169209480178855937","44362132","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ashishdalal28",0,FALSE,FALSE,NA,NA
"Majorly craving rice modak filled with jaggery and coconut mix.. @Zomato @swiggy_in @UberEats zara uska pata do..… https://t.co/lsJjJJQ2HG",FALSE,0,NA,2019-09-04 11:17:18,TRUE,NA,"1169207804986580992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shikhapandey",0,FALSE,FALSE,NA,NA
"@ZomatoIN  @zomatocare  @Zomato 
I'm complaining second time in 2days. I have ordered from zomato and payment has b… https://t.co/GdaCtLGn9o",FALSE,0,"ZomatoIN",2019-09-04 11:16:25,TRUE,NA,"1169207581924966400","3282245130","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Sangmeshsd11",0,FALSE,FALSE,NA,NA
"@ZomatoIN And also P Se PHUDDU @ZOMATO ..",FALSE,0,"ZomatoIN",2019-09-04 11:15:38,FALSE,"1169193423527694336","1169207388907245569","3282245130","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KingScorpion089",0,FALSE,FALSE,NA,NA
"@Zomato @ZomatoIN @ZomatoUS @zomatocare i placed one at 3 24 now zomato care PREETI is not ready to cancel the orde… https://t.co/io9nlwP4kE",FALSE,0,"Zomato",2019-09-04 11:10:19,TRUE,NA,"1169206046952288256","23283603","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BholaPraveen",0,FALSE,FALSE,NA,NA
"@Zomato @ZomatoIN @aajtak @ndtv 
The partner restaurant are denying their offer and I have recently bought their an… https://t.co/KTGSnZyDPB",FALSE,1,"TheDeepakChawla",2019-09-04 11:09:23,TRUE,"1169205064482689024","1169205815959408640","532772074","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TheDeepakChawla",0,FALSE,FALSE,NA,NA
"@Zomato @ZomatoIN 
I need my membership fee refund. Please address it today. It’s been long I am waiting. https://t.co/13xA5Ej9QG",FALSE,1,"Zomato",2019-09-04 11:06:24,FALSE,NA,"1169205064482689024","23283603","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TheDeepakChawla",0,FALSE,FALSE,NA,NA
"@ZomatoIN @zomatocare @deepigoyal @Zomato 4 din hogye order cancel karke pr na abhi tak chat support ka option aaya… https://t.co/aoNecQnFnJ",FALSE,0,"ZomatoIN",2019-09-04 11:05:25,TRUE,NA,"1169204814183485440","3282245130","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","whoofypanda",0,FALSE,FALSE,NA,NA
"@ZomatoIN @Zomato @zomatocare can anyone from you efficient team give me a call? neither you or the restaurant is a… https://t.co/uBQZoAVxmB",FALSE,0,"ZomatoIN",2019-09-04 11:02:17,TRUE,NA,"1169204026757353472","3282245130","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","urveshmehta",0,FALSE,FALSE,NA,NA
"@ZomatoIN @Zomato @zomatocare do you even realize that there is no support from your team on the issues we are rais… https://t.co/mnNlXgq82m",FALSE,0,"ZomatoIN",2019-09-04 10:55:35,TRUE,NA,"1169202341255380992","3282245130","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","urveshmehta",0,FALSE,FALSE,NA,NA
"RT @bachPunn: Then : We are experiencing rain, please expect delay. 

Now : Delivery person is Following Traffic Rules, please expect late…",FALSE,0,NA,2019-09-04 10:55:34,FALSE,NA,"1169202338579415040",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bachPunn",1,TRUE,FALSE,NA,NA
"Then : We are experiencing rain, please expect delay. 

Now : Delivery person is Following Traffic Rules, please ex… https://t.co/fT0wdYFF3J",FALSE,0,NA,2019-09-04 10:55:28,TRUE,NA,"1169202312671199232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bachPunn",1,FALSE,FALSE,NA,NA
"@deepigoyal please note my order is running late(it has been 2 hours now). had to tag you since no response for you… https://t.co/eBIeCCQxkA",FALSE,0,"deepigoyal",2019-09-04 10:51:49,TRUE,NA,"1169201394277998592","72481380","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","urveshmehta",0,FALSE,FALSE,NA,NA
"What a reply from Hotal managment <U+0001F621><U+0001F621><U+0001F621> @ZomatoIN @Zomato @zomatocare https://t.co/1BuaPQzpb7",FALSE,0,NA,2019-09-04 10:51:41,FALSE,NA,"1169201361499484161",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","techindiafirm",0,FALSE,FALSE,NA,NA
"@swiggy_in @SwiggyCares why you are so bad whenever there is a need to order food @ZomatoIN @Zomato hoping you migh… https://t.co/OpfegEUuZ6",FALSE,0,"swiggy_in",2019-09-04 10:43:19,TRUE,NA,"1169199255908601856","2639625036","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jainakki",0,FALSE,FALSE,NA,NA
"@zomatocare @ZomatoIN @Zomato I was promised a revert on mail saying that i would be getting a refund by this day.… https://t.co/ZF03jV9ksN",FALSE,0,"ManikBatra95",2019-09-04 10:40:15,TRUE,"1169160456470089728","1169198480562114560","3220147309","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ManikBatra95",0,FALSE,FALSE,NA,NA
"Hi @Zomato @ZomatoIN There is huge difference is actual restaurant menu price and #Zomato Menu price. Pics attached. https://t.co/h972gbxSaA",FALSE,1,NA,2019-09-04 10:33:29,FALSE,NA,"1169196779562139648",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nayanp21",0,FALSE,FALSE,NA,NA
"Hey @Zomato @ZomatoIN @zomatocare  Order number -2118865706
Ticket - 1293703
This is how I received my order ,live… https://t.co/RBUxJccoCQ",FALSE,0,NA,2019-09-04 10:31:52,TRUE,NA,"1169196373918416896",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","AbhinnaArjun",0,FALSE,FALSE,NA,NA
"Order no. 2049391936
Please call me asap regarding my recent order.
@Zomato @ZomatoIN @zomatocare",FALSE,0,NA,2019-09-04 10:28:34,FALSE,NA,"1169195544142475264",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","prateek__mehta",0,FALSE,FALSE,NA,NA
"@Zomato @ZomatoIN  what lies. PepoerCurls is OPEN https://t.co/tnbthNqQKA",FALSE,0,"Zomato",2019-09-04 10:27:33,FALSE,NA,"1169195284624072704","23283603","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","luetcordeiro",0,FALSE,FALSE,NA,NA
"@ZomatoIN PService - 
Pathetic Service by @Zomato",FALSE,1,"ZomatoIN",2019-09-04 10:23:39,FALSE,"1169193423527694336","1169194305887584262","3282245130","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sambajaj",0,FALSE,FALSE,NA,NA
"@Zomato @zomatocare @ZomatoIN such lies and cheaters. Cancelled my ordrr after an hour, made me waiting for so long… https://t.co/xtlh6vJhd4",FALSE,1,"Zomato",2019-09-04 10:21:54,TRUE,NA,"1169193865817075718","23283603","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SaurabhgKapoor",0,FALSE,FALSE,NA,NA
"@SauSanVee @Olacabs @Zomato @Unilever Has @Olacabs launched any separate app for Virat Hindu bros which enables the… https://t.co/cWnqv0B0jM",FALSE,0,"SauSanVee",2019-09-04 10:16:10,TRUE,"1168266263690280960","1169192422770978816","140716268","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ankurdeokar",0,FALSE,FALSE,NA,NA
"RT @thesuniljain: An @amazon or @WalmartInc can't discount on their marketplaces but a @reliancegroup Retail can! This is unfair to FDI @Pi…",FALSE,0,NA,2019-09-04 10:06:03,FALSE,NA,"1169189875813212160",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","harshb232",31,TRUE,FALSE,NA,NA
"@mahendradelhi89 @INCMP @Zomato @swiggy_in @Uber @bsnl <U+0914><U+0930> <U+092E><U+0947><U+0930><U+0947> <U+092F><U+0939> <U+0939><U+0940> <U+0928><U+0939><U+0940> <U+092A><U+0942><U+0930><U+0947> <U+092D><U+093E><U+0930><U+0924> <U+092E><U+0947> bsnl <U+0915><U+0947> <U+0915><U+0928><U+0947><U+0915><U+094D><U+0936><U+0928> <U+0925><U+0947> ,<U+0924><U+0942> <U+0916><U+0941><U+0926> <U+092C><U+093E>… https://t.co/5y8NcxPLvB",FALSE,0,"mahendradelhi89",2019-09-04 10:05:37,TRUE,"1169090967976239104","1169189767449153537","862227960601878528","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AshvinPatidar",0,FALSE,FALSE,NA,NA
"@Zomato @ZomatoIN @zomatocare 
Hights of  unprofessionalism. First delivered half order, second forced accept it st… https://t.co/M9gRGdiYgz",FALSE,0,"Zomato",2019-09-04 10:04:20,TRUE,NA,"1169189445171499008","23283603","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sameetjpatil",0,FALSE,FALSE,NA,NA
"@mahendradelhi89 @INCMP @Zomato @swiggy_in @Uber @bsnl <U+0924><U+0942> <U+0926><U+093F><U+092E><U+093E><U+0917><U+0940> <U+0930><U+0942><U+092A> <U+0938><U+0947> <U+0915><U+092E><U+091C><U+094B><U+0930> <U+0939><U+0948>,<U+092D><U+0940> bsnl <U+0917><U+0935><U+0930><U+094D><U+0928><U+092E><U+0947><U+0902><U+091F> <U+0915><U+0902><U+092A><U+0928><U+0940> <U+0925><U+0940> <U+091C><U+093F><U+0938><U+0915><U+094B> <U+0906>… https://t.co/2rnJBEoaOR",FALSE,0,"mahendradelhi89",2019-09-04 10:03:26,TRUE,"1169090967976239104","1169189215365562368","862227960601878528","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AshvinPatidar",0,FALSE,FALSE,NA,NA
